id,serial,field,old_value,new_value,changed_at,source,site
1,IMPORT,import,"","0 added, 6817 updated, 0 errors","2026-08-07 07:21:33.424+00","Mining Ops Admin",
2,AME31LC000P35PC0A26QG1901,swap,20.5.15·Mining,"Warehouse·For Diagnosis","2026-08-07 07:28:27.043+00","Mining Ops Admin",
3,AME31LC000P3A7C0A26QG2001,swap,"Warehouse·Ready For Deployment",20.5.15·Mining,"2026-08-07 07:28:27.043+00","Mining Ops Admin",
4,"BULK ADD",bulk_add,"","6 saved, 0 failed","2026-08-07 10:37:09.345+00","Mining Ops Admin",
5,"BULK ADD",bulk_add,"","5 saved, 0 failed","2026-08-07 10:39:18.926+00","Mining Ops Admin",
6,AME31LC000MKU3C2A26QA2404,location,Warehouse,24.3.12,"2026-08-07 16:19:19.812+00","Mining Ops Admin",
7,AME31LC000MKU3C2A26QA2404,latest_status,"Ready For Deployment - Repaired By Psu Swap",Mining,"2026-08-07 16:19:19.812+00","Mining Ops Admin",
8,AME31LC000MKU3C2A26QA2404,container,Unknown,24,"2026-08-07 16:19:19.812+00","Mining Ops Admin",
9,AME31LC000MKU3C2A26QA2404,tank,Unknown,3,"2026-08-07 16:19:19.812+00","Mining Ops Admin",
10,AME31LC000MKU3C2A26QA2404,position,Unknown,12,"2026-08-07 16:19:19.812+00","Mining Ops Admin",
11,"BULK ADD",bulk_add,"","1134 saved, 0 failed","2026-08-07 16:44:11.758+00","Mining Ops Admin",
12,"BULK ADD",bulk_add,"","1 saved, 0 failed","2026-08-07 17:03:09.042+00","Mining Ops Admin",
13,"BULK ADD",bulk_add,"","1133 saved, 0 failed","2026-08-07 17:04:13.331+00","Mining Ops Admin",
14,"BULK ADD",bulk_add,"","500 saved, 375 failed","2026-08-08 14:54:30.517+00","Mining Ops Admin",
15,"BULK ADD",bulk_add,"","500 saved, 375 failed","2026-08-08 14:55:06.722+00","Mining Ops Admin",
16,"BULK ADD",bulk_add,"","500 saved, 375 failed","2026-08-08 14:55:36.988+00","Mining Ops Admin",
17,"BULK ADD",bulk_add,"","500 saved, 375 failed","2026-08-08 14:56:01.793+00","Mining Ops Admin",
18,"BULK ADD",bulk_add,"","500 saved, 375 failed","2026-08-08 15:01:31.92+00","Mining Ops Admin",
19,"BULK ADD",bulk_add,"","874 saved, 0 failed, 1 duplicates skipped","2026-08-08 15:02:39.283+00","Mining Ops Admin",
20,JYZZEAABCJEBB0EZW,edit,"","no change","2026-08-08 18:05:25.509+00","Mining Ops Admin",
21,JYZZEAABCJEBB0EZW,bulk_edit,"Warehouse·Ready For Deployment - Consolidated","Warehouse·Ready For Deployment - Consolidated","2026-08-08 18:11:03.246+00","Mining Ops Admin",
22,JYZZEAABCJEBB0F0G,bulk_edit,"Warehouse·Ready For Deployment - Consolidated","Warehouse·Ready For Deployment - Consolidated","2026-08-08 18:11:03.246+00","Mining Ops Admin",
23,JYZZEAABCJEBB0G3C,bulk_edit,"Warehouse·For Diagnosis","Warehouse·Ready For Deployment - Consolidated","2026-08-08 18:11:03.246+00","Mining Ops Admin",
24,JYZZEAABCJFBH0J01,bulk_edit,"Warehouse·For Diagnosis","Warehouse·Ready For Deployment - Consolidated","2026-08-08 18:11:03.246+00","Mining Ops Admin",
25,JYZZEAABCJFBH0PJ4,bulk_edit,"Warehouse·Ready For Deployment - Consolidated","Warehouse·Ready For Deployment - Consolidated","2026-08-08 18:11:03.246+00","Mining Ops Admin",
26,JYZZEAABCJFBH0YVY,bulk_edit,"Warehouse·For Diagnosis","Warehouse·Ready For Deployment - Consolidated","2026-08-08 18:11:03.246+00","Mining Ops Admin",
27,JYZZEAABCJFBH0Z0C,bulk_edit,"Warehouse·Ready For Deployment - Consolidated","Warehouse·Ready For Deployment - Consolidated","2026-08-08 18:11:03.246+00","Mining Ops Admin",
